Detected configuration: Linux / .Net
[126] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1443ms
[127] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4912ms
[128] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8651ms
[129] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4968ms
[130] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4965ms
[131] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6464ms
[132] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6086ms
[133] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6494ms
[134] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.722ms
[135] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7363ms
[136] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4582ms
[137] Vertex Count: 9644, Index Count: 13542, Meshing time: 4.5433ms
[138] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1191ms
[139] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4589ms
[140] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4579ms
[141] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8257ms
[142] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5707ms
[143] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5429ms
[144] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7166ms
[145] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6722ms
[146] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.0401ms
[147] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5502ms
[148] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7987ms
[149] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1196ms
[150] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4538ms
[151] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5315ms
[152] Vertex Count: 8712, Index Count: 12288, Meshing time: 7.7704ms
[153] Vertex Count: 8712, Index Count: 12288, Meshing time: 7.5066ms
[154] Vertex Count: 8712, Index Count: 12288, Meshing time: 6.085ms
[155] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8969ms
[156] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6361ms
[157] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6019ms
[158] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6446ms
[159] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.6182ms
[160] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6226ms
[161] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.6028ms
[162] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6396ms
[163] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6366ms
[164] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6298ms
[165] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7571ms
[166] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6046ms
[167] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5292ms
[168] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.9582ms
[169] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.4668ms
[170] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4615ms
[171] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4575ms
[172] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4791ms
[173] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4561ms
[174] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8772ms
[175] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5495ms
[176] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.472ms
[177] Vertex Count: 8712, Index Count: 12288, Meshing time: 11.9796ms
[178] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6186ms
[179] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.2439ms
[180] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6118ms
[181] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.887ms
[182] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5941ms
[183] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6086ms
[184] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5867ms
[185] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6987ms
[186] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7323ms
[187] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7186ms
[188] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6509ms
[189] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.2504ms
[190] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5944ms
[191] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6866ms
[192] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6601ms
[193] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6482ms
[194] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7597ms
[195] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4621ms
[196] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7219ms
[197] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5134ms
[198] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4666ms
[199] Vertex Count: 4752, Index Count: 6720, Meshing time: 5.3437ms
[200] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4636ms
[201] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.0893ms
[202] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7536ms
[203] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6859ms
[204] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4571ms
[205] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4482ms
[206] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4588ms
[207] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7283ms
[208] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4659ms
[209] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4742ms
[210] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.3728ms
[211] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5597ms
[212] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4307ms
[213] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4539ms
[214] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7498ms
[215] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5964ms
[216] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5978ms
[217] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6842ms
[218] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6046ms
[219] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6ms
[220] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.928ms
[221] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.3554ms
[222] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.0063ms
[223] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4684ms
